Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A1,25.0
pY108_RP1_1,pY108_RP1_1,GF0001254,MOTY_OL_001_WorkingWP,C1,GF0001264,GF0001264,A1,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A2,25.0
pY108_RP2_1,pY108_RP2_1,GF0001254,MOTY_OL_001_WorkingWP,C3,GF0001264,GF0001264,A2,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A3,25.0
pY108_RP3_1,pY108_RP3_1,GF0001254,MOTY_OL_001_WorkingWP,C5,GF0001264,GF0001264,A3,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A4,25.0
pY108_RP4_1,pY108_RP4_1,GF0001254,MOTY_OL_001_WorkingWP,C7,GF0001264,GF0001264,A4,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A5,25.0
pY108_RP5_1,pY108_RP5_1,GF0001254,MOTY_OL_001_WorkingWP,C9,GF0001264,GF0001264,A5,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A6,25.0
pY108_RP6_1,pY108_RP6_1,GF0001254,MOTY_OL_001_WorkingWP,C11,GF0001264,GF0001264,A6,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A7,25.0
pY108_RP7_1,pY108_RP7_1,GF0001254,MOTY_OL_001_WorkingWP,C13,GF0001264,GF0001264,A7,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A8,25.0
pY108_RP8_1,pY108_RP8_1,GF0001254,MOTY_OL_001_WorkingWP,C15,GF0001264,GF0001264,A8,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A9,25.0
pY108_RP9_1,pY108_RP9_1,GF0001254,MOTY_OL_001_WorkingWP,C17,GF0001264,GF0001264,A9,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A10,25.0
pY108_RP10_1,pY108_RP10_1,GF0001254,MOTY_OL_001_WorkingWP,C19,GF0001264,GF0001264,A10,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A11,25.0
pY108_RP11_1,pY108_RP11_1,GF0001254,MOTY_OL_001_WorkingWP,C21,GF0001264,GF0001264,A11,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A12,25.0
pY108_RP12_1,pY108_RP12_1,GF0001254,MOTY_OL_001_WorkingWP,C23,GF0001264,GF0001264,A12,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A13,25.0
